M,ds_size,e,loss_gd,loss_trained
5,5,0.0,1.4557976722717285,9.92708969116211
5,5,0.1,1.300641655921936,10.82927131652832
5,5,0.3,1.0165506601333618,12.7181978225708
5,5,0.5,0.7674214839935303,14.777971267700195
5,10,0.0,0.9486116766929626,3.3352293968200684
5,10,0.1,1.0389758348464966,3.468878984451294
5,10,0.3,1.2320348024368286,3.761704206466675
5,10,0.5,1.441535472869873,4.106769561767578
5,15,0.0,0.2523293197154999,3.0114943981170654
5,15,0.1,0.19206613302230835,3.5162010192871094
5,15,0.3,0.09617015719413757,4.629095077514648
5,15,0.5,0.03311401233077049,5.832822322845459
5,20,0.0,0.16556762158870697,0.027774522081017494
5,20,0.1,0.1118302121758461,0.06853334605693817
5,20,0.3,0.03588405251502991,0.2080875039100647
5,20,0.5,0.001975937746465206,0.4418880343437195
50,5,0.0,1.4557976722717285,5.699122428894043
50,5,0.1,1.300641655921936,6.2559990882873535
50,5,0.3,1.0165506601333618,7.4402360916137695
50,5,0.5,0.7674214839935303,8.71701717376709
50,10,0.0,0.9486116766929626,1.6006742715835571
50,10,0.1,1.0389758348464966,1.6009665727615356
50,10,0.3,1.2320348024368286,1.6168540716171265
50,10,0.5,1.441535472869873,1.654541015625
50,15,0.0,0.2523293197154999,0.8571492433547974
50,15,0.1,0.19206613302230835,1.0295281410217285
50,15,0.3,0.09617015719413757,1.4284601211547852
50,15,0.5,0.03311401233077049,1.9095650911331177
50,20,0.0,0.16556762158870697,0.43090105056762695
50,20,0.1,0.1118302121758461,0.5087783932685852
50,20,0.3,0.03588405251502991,0.7138651013374329
50,20,0.5,0.001975937746465206,0.9509662389755249
100,5,0.0,1.4557976722717285,8.1387939453125
100,5,0.1,1.300641655921936,8.904325485229492
100,5,0.3,1.0165506601333618,10.528885841369629
100,5,0.5,0.7674214839935303,12.258992195129395
100,10,0.0,0.9486116766929626,3.1929969787597656
100,10,0.1,1.0389758348464966,3.246483325958252
100,10,0.3,1.2320348024368286,3.3610305786132812
100,10,0.5,1.441535472869873,3.4918301105499268
100,15,0.0,0.2523293197154999,0.9106780290603638
100,15,0.1,0.19206613302230835,1.087597131729126
100,15,0.3,0.09617015719413757,1.478381633758545
100,15,0.5,0.03311401233077049,1.917014479637146
100,20,0.0,0.16556762158870697,0.00031906471122056246
100,20,0.1,0.1118302121758461,0.008351316675543785
100,20,0.3,0.03588405251502991,0.0615345761179924
100,20,0.5,0.001975937746465206,0.1736036241054535
