M,N,VarE,Loss
5,5,0.0,2.3560967445373535
5,5,0.1,2.544877529144287
5,5,0.2,0.6823848485946655
5,5,0.3,0.5214658975601196
5,10,0.0,1.579827904701233
5,10,0.1,0.5447427034378052
5,10,0.2,0.6193503737449646
5,10,0.3,2.692704200744629
5,15,0.0,1.1664385795593262
5,15,0.1,2.1151983737945557
5,15,0.2,1.2018669843673706
5,15,0.3,3.3798983097076416
5,20,0.0,4.437983512878418
5,20,0.1,1.2904438972473145
5,20,0.2,3.0307977199554443
5,20,0.3,9.932050704956055
10,5,0.0,5.651940822601318
10,5,0.1,1.2257128953933716
10,5,0.2,7.1674699783325195
10,5,0.3,5.073785305023193
10,10,0.0,4.0080952644348145
10,10,0.1,2.5715439319610596
10,10,0.2,1.5697342157363892
10,10,0.3,0.8816171884536743
10,15,0.0,3.6318130493164062
10,15,0.1,11.210623741149902
10,15,0.2,24.410306930541992
10,15,0.3,3.8452653884887695
10,20,0.0,8.567727088928223
10,20,0.1,2.914091110229492
10,20,0.2,9.65079116821289
10,20,0.3,14.626740455627441
50,5,0.0,10.652615547180176
50,5,0.1,17.01878547668457
50,5,0.2,9.893656730651855
50,5,0.3,8.642468452453613
50,10,0.0,8.64599609375
50,10,0.1,2.210233211517334
50,10,0.2,7.527069568634033
50,10,0.3,39.063480377197266
50,15,0.0,37.5793571472168
50,15,0.1,42.00300979614258
50,15,0.2,49.383766174316406
50,15,0.3,71.35346221923828
50,20,0.0,52.3745231628418
50,20,0.1,34.36368179321289
50,20,0.2,25.839702606201172
50,20,0.3,10.968364715576172
100,5,0.0,8.877302169799805
100,5,0.1,5.486029624938965
100,5,0.2,6.823014736175537
100,5,0.3,17.999645233154297
100,10,0.0,6.542318344116211
100,10,0.1,14.79397201538086
100,10,0.2,2.3287384510040283
100,10,0.3,16.49860382080078
100,15,0.0,20.005138397216797
100,15,0.1,13.549534797668457
100,15,0.2,16.927583694458008
100,15,0.3,25.25718116760254
100,20,0.0,25.203279495239258
100,20,0.1,14.493866920471191
100,20,0.2,16.412996292114258
100,20,0.3,24.393667221069336
