M,N,Loss
5,5,1.0886460542678833
5,10,1.565557599067688
5,15,0.47916850447654724
5,20,1.193073034286499
10,5,0.7159656286239624
10,10,0.6550772190093994
10,15,1.6609771251678467
10,20,0.738625705242157
50,5,0.9321815967559814
50,10,1.7179147005081177
50,15,5.17214822769165
50,20,4.637800693511963
100,5,11.484142303466797
100,10,6.231427192687988
100,15,5.864238739013672
100,20,11.050312042236328
