M,ds_size,e,loss_gd,loss_trained
5,5,0.0,11.606736183166504,13.93777847290039
5,5,0.1,12.716079711914062,15.653817176818848
5,5,0.3,14.266770362854004,19.440940856933594
5,5,0.5,14.969895362854004,22.975631713867188
5,10,0.0,62.4709358215332,22.044435501098633
5,10,0.1,65.92918395996094,2.986567497253418
5,10,0.3,75.23725891113281,4.775304317474365
5,10,0.5,90.8593978881836,7.374710559844971
5,15,0.0,167.62744140625,22.383113861083984
5,15,0.1,175.32289123535156,0.22690683603286743
5,15,0.3,196.5965576171875,0.37975072860717773
5,15,0.5,229.40357971191406,0.6237194538116455
5,20,0.0,206.0972137451172,17.582599639892578
5,20,0.1,230.57781982421875,2.125253915786743
5,20,0.3,290.65283203125,0.899345874786377
5,20,0.5,371.1134033203125,0.2807788550853729
50,5,0.0,11.606736183166504,11.149635314941406
50,5,0.1,12.716079711914062,12.389236450195312
50,5,0.3,14.266770362854004,15.520252227783203
50,5,0.5,14.969895362854004,19.100059509277344
50,10,0.0,62.4709358215332,1.767458438873291
50,10,0.1,65.92918395996094,2.097397804260254
50,10,0.3,75.23725891113281,3.0922868251800537
50,10,0.5,90.8593978881836,4.779673099517822
50,15,0.0,167.62744140625,0.05300493165850639
50,15,0.1,175.32289123535156,0.07143795490264893
50,15,0.3,196.5965576171875,0.0878714919090271
50,15,0.5,229.40357971191406,0.17656183242797852
50,20,0.0,206.0972137451172,0.7842462062835693
50,20,0.1,230.57781982421875,0.8730939626693726
50,20,0.3,290.65283203125,0.9739113450050354
50,20,0.5,371.1134033203125,0.6967338919639587
100,5,0.0,11.606736183166504,10.681317329406738
100,5,0.1,12.716079711914062,12.140851020812988
100,5,0.3,14.266770362854004,15.732810974121094
100,5,0.5,14.969895362854004,20.62118148803711
100,10,0.0,62.4709358215332,2.6462366580963135
100,10,0.1,65.92918395996094,3.074025869369507
100,10,0.3,75.23725891113281,4.215472221374512
100,10,0.5,90.8593978881836,5.885528087615967
100,15,0.0,167.62744140625,0.0698757991194725
100,15,0.1,175.32289123535156,0.017085595056414604
100,15,0.3,196.5965576171875,0.005113494582474232
100,15,0.5,229.40357971191406,0.07469384372234344
100,20,0.0,206.0972137451172,0.6753954291343689
100,20,0.1,230.57781982421875,0.9098412990570068
100,20,0.3,290.65283203125,1.4737497568130493
100,20,0.5,371.1134033203125,1.9891105890274048
